title,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Junior Operations Manager,BnBCondo,Wattana,Master,3 years,Full Time,Consultancy,Operation,18000
Site Finder / Store Development,Manarco Recruitment Limited,Bangkok,Degree,3 years,"Full Time, Permanent",Wholesale,Property,95000
Chief Operating Officer ( COO )/ประธานฝ่ายปฎิบัติการ,S.K.J.Industries Company Limited,Wangthonglang,Degree,5 years,"Contract, Full Time",Petrochemical,CTO,87500
System Analyst/นักวิเคราะห์ระบบ (3 อัตรา),"Emwork Group Co., Ltd.",Huaykwang,Degree,1 year,"Contract, Freelance, Full Time, Part Time, Permanent, Temporary",Others,Information Technology (IT),25500
Domestic Sales  Manager,Kart (Thailand) Limited,Bangrak,Degree,5 years,Full Time,Freight Forwarding,Others,50000
Administrative Officer/ธุรการ,"Chokerattanakul Import Co., Ltd.",Bangkokyai,Diploma of High Vocational Education,N/A,"Contract, Full Time, Internship",Wholesale,Merchandising & Purchasing,13000
Customer Service Officer (Amatanakorn IE),"Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,3 years,"Full Time, Permanent",Chemical,Export Import,32500
Chief Operating Officer ( COO )/ประธานฝ่ายปฎิบัติการ,S.K.J.Industries Company Limited,Wangthonglang,Degree,5 years,"Contract, Full Time",Petrochemical,MD etc.),87500
Sales Executive,"East Enterprises Co., Ltd.",Wattana,Not Specified,Not Specified,Full Time,Trading and Distribution,CS & Business Devpt,30000
Customer Service Engineer – CNC Machine (25,Adecco Eastern Seaboard Recruitment Ltd.,Chonburi,Not Specified,Not Specified,"Full Time, Permanent",Industrial Machinery,Engineering,25000
Sales,"SYNTHEC INTER CO., LTD.",Pravet,Degree,N/A,"Full Time, Permanent",Retail,CS & Business Devpt,21500
Senior Cost Estimator,Unisun Development Corp (Cambodia),Overseas,Degree,5 years,Full Time,Construction,Architectural Services,50000
Service Engineer (Robots),JAC International,Bangkok,Degree,1 year,Permanent,Industrial Machinery,Engineering,30000
วิศวกรควบคุมงาน Civil Road,NU CONNEXION COMPANY LIMITED,Songkhla,Degree,1 year,"Contract, Full Time",Architecture,Building & Construction,27500
QA Manager,Synova Ltd.,Bangkok,(N/A),6 years,Full Time,Catering,Lab,72500
R&D Chemist Packaging or OEM Automotive ( 40,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,2 years,Full Time,Plastic,Sciences,37500
Graphic Designer (BTS Phrom Phong),The Lorry Online Sdn Bhd,Wattana,Not Specified,Not Specified,"Full Time, Permanent",Shipping,Design,20500
Software Engineer (C#.Net,Ngernturbo Company Limited/บริษัท เงินเทอร์โบ จำกัด,Prakket,Degree,N/A,Full Time,Financial Services,Information Technology (IT),32500
Logistics Officer,"Osstem (Thailand) Co., Ltd.",Klongtoey,Diploma of High Vocational Education,1 year,Full Time,Medical,Inventory,18000
Accounting Officer,Thai Reinsurance Public Company Limited,Huaykwang,Degree,N/A,"Full Time, Permanent",Insurance,Accounting,25500
Reservations/Customer Service,Blue Voyage (Thailand),Pathumwan,Degree,3 years,Full Time,Catering,CS & Business Devpt,37500
Accountant (Chinese or English speaker),"In Chern Trading Co., Ltd.",Samutprakarn > Muang,Degree,2 years,Full Time,Retail,Accounting,50000
พนักงานขายสินค้าเครื่องใช้ไฟฟ้า (HA)    2   อัตรา,CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Diploma of High Vocational Education,2 years,"Full Time, Permanent",Retail,CS & Business Devpt,18000
Sales Engineer /Sales Executive,"Good Job Professional (Thailand) Co., Ltd./กู็ด จ๊อบ โปรเพสชัลแนล",Bangkok,Degree,1 year,Full Time,Consultancy,Sales Engineer,27500
Sales Manager,Pullman Bangkok Hotel G,Bangrak,Degree,2 years,Full Time,Catering,Marketing,40000
Oversea Sales 1 Position,"Bangkok Interfood Co., Ltd.",Klongsan,Degree,3 years,Permanent,Catering,Others,32500
Programmer (2+ Yrs Exp in Java,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,1 year,"Full Time, Permanent",Motor Vehicles,IT Consulting,30000
Programmer,"Hatari Wireless Co., Ltd.",Pathumwan,Degree,2 years,Permanent,Electronics,Software Development,20500
Sales and Event Marketing,"Emanate  International Co.,ltd",Wattana,Degree,N/A,"Full Time, Part Time, Permanent",Advertising,Others,20500
IMMEDIATE START,EV Development Company Limited,Klongtoey,Degree,1 year,"Full Time, Permanent",Others,Tourism,30000
Freight Coordinator,Ninja Logistics (Thailand) Limited.,Bangna,Degree,2 years,"Full Time, Permanent",Delivery,Freight Forwarding,37500
IT Manager (Marketing Technology Company),"Skillpower Services (Thailand) Co., Ltd.",Prakket,Degree,5 years,"Freelance, Full Time",Marketing Services,Team Lead,57500
SALES/MARKETING EXECUTIVES/การขาย/การบริหารการตลาด,"Paul Poole (South East Asia) Co., Ltd./บริษัท พอล พูล (เซ้าท อีส เอเชีย) จำกัด",Pranakorn,Degree,1 year,Full Time,Advertising,Marketing,35000
Sou Chef / Chef De Parti / Commis,"INVIBE Advisory Co., Ltd.",Wattana,High School Certificate,2 years,Full Time,Catering,Hospitality,30000
Trade Officer  (Contract),"KOTRA, Bangkok",Wattana,Degree,1 year,"Contract, Full Time",General Business Services,CS & Business Devpt,32500
Mobile Application Developer,Revolution IT & Marketing Company Limited,Wangthonglang,Degree,1 year,Permanent,Information Technology,Programming,27500
