title,level,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Sales & Marketing Executive/ ฝ่ายขายและการตลาด,Middle,www.easybook.com (Easibook.com Pte Ltd - Thailand Branch),Eastern,Degree,3 years,"Contract, Full Time",Information Technology,Marketing Communication,20500
Sales Engineer (New Graduate Students/ Degree in Engineering/ Attractive Salary & Benefits),"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Electronics,Engineering,37500
Logistic Officer,Entry Level,"Perfect Companion Group Co., Ltd.",Bangkok Area - Samutprakarn,Degree,Not Specified,"Full Time, Permanent",Delivery,Transportation & Logistics,18000
Brand Representative,Not Specified,"Phenomenon Enterprise Co., Ltd.",Klongtoey,Not Specified,Not Specified,"Freelance, Full Time, Part Time",Public Relations,Marketing,25000
Admin Warehouse Manager,"",Central Retail Corporation Ltd. (JD ecommerce),Bangkok Area - Samutprakarn,Degree,2 years,Full Time,Wholesale,Operation,50000
Operation Manager (The 1 Card),Entry Level,Central Group (Supporting Unit),Pathumwan,Degree,5 years,"Full Time, Permanent",Wholesale,Sales,57500
ACCOUNT EXECUTIVE / SENIOR ACCOUNT EXECUTIVE / ACCOUNT MANAGER,"","Communication One Co., Ltd.",Huaykwang,Degree,1 year,Permanent,Advertising,Marketing Communication,32500
Sales Representative (Event and Booth Channel),"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Event Marketing,27500
Senior Secretary / Personal Assistant,"",Southeast Insurance Public Company Limited,Bangrak,Degree,8 years,"Full Time, Permanent",Pension Funding,Administration,50000
Sales Engineer (Petrochemical and Oil&Gas),Entry Level,Adecco Recruitment (Thailand) Limited,Bangkok,Degree,1 year,"Full Time, Permanent",Motor Vehicles,Sales Engineer,25000
Event Producer,Middle,"Bonduba And Ningki United Co., Ltd.",Wangthonglang,Degree,3 years,"Full Time, Permanent",Marketing Services,Marketing,30000
Public Relation Officer/เจ้าหน้าที่สัมพันธ์,"",German-Southeast Asian Center of Excellence for Public Policy and Good Governance (CPG),Bangkok,Degree,Not Specified,Full Time,Charity,Non-profit Organization,20500
Sales Engineer,"","Sirayooth Co., Ltd./บริษัท ศิรายุทธ จำกัด",Kannayao,Degree,N/A,Permanent,Engineering - Electrical,Mechanical,20500
I.T. SUPPORT OFFICER/I.T. SUPPORT OFFICER,Entry Level,"ALS Laboratory Group (Thailand) Co., Ltd.",Suanluang,Degree,1 year,Full Time,Research,Information Technology (IT),32500
Interior Designer / Architect/มัณทนากร / สถาปนิก,Middle,Catch Design Studio Group,Meenburi,Degree,2 years,Full Time,Architecture,Building,22500
Technical Support Engineer,Middle,"GR TECH (THAILAND) CO., LTD.",Bangkapi,Degree,5 years,Full Time,Engineering - Electrical,Engineering,30000
Accounting Officer/Accounting Officer,"","J & P Fragrances Co., Ltd.",Sathorn,Degree,1 year,Full Time,Accounting,Others,18000
Programmer,"","TANASOFT CO., LTD.",Kanchanaburi,Degree,1 year,Permanent,Information Technology,Programming,25000
International Patient Coordinator,Entry Level,CosMediTour,Pathumwan,Degree,2 years,Full Time,Travel Agency,Admin & HR,37500
