title,level,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Commercial Director,"","Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,10 years,"Full Time, Permanent",Food and Beverage / Catering,Marketing / Public Relations > Management,140000
Sales Coordinator (Oversea),"","Wonder World Products Co., Ltd.",Pathumthani > Muang,Degree,1 year,"Full Time, Permanent",Toys,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Others",25500
Human Resources Manager 130K (Eastern Seaboard),"",HRnet One Executive Recruitment (Thailand) Ltd.,Chonburi,Degree,8 years,Permanent,Human Resources Management / Consultancy,"Admin & HR > Compensation & Benefits , Admin & HR > Employee Relations , Admin & HR > Recruitment / Executive Search",95000
Maintenance Technician (Equipment for cooking and making drinks)/ช่างซ่อมบำรุง (อุปกรณ์ที่ใช้ประกอบอาหารเเละทำเครื่องดื่ม),Entry Level,DKSH (Thailand) Limited : Business Unit - Technology,Prakanong,Diploma of High Vocational Education,N/A,"Full Time, Permanent",Trading and Distribution,"Engineering > Electrical / Electronics , Engineering > Maintenance , Others > Student / Fresh Graduate / No Experience",18000
Receptionist / PR,"","Wonjin Beauty Medical Group (Thailand) Co., Ltd./บจก.วอนจิน บิวตี้ เมดิคอล กรุ๊ป (ประเทศไทย)",Pathumwan,Diploma of High Vocational Education,N/A,Permanent,Health & Beauty Care,Medical Services > Doctor / Practitioner / Surgeon,22500
Sales Executive,"",JAC International,Bangkok,Degree,1 year,"Full Time, Permanent",Clothing / Garment / Textile,"Sales, CS & Business Devpt > Business Development , Sales, CS & Business Devpt > Direct",30000
Sales/เจ้าหน้าที่ฝ่ายขาย,Not Specified,"Arena Media Co., Ltd.",Bangkok Area - Nonthaburi,Not Specified,Not Specified,Full Time,Wholesale / Retail,"Sales, CS & Business Devpt > Sales Management",25500
Senior Supervisor,"",Colgate-Palmolive (Thailand) Limited,Chonburi,Degree,3 years,"Full Time, Permanent",Others,Others > Others,57500
Product Manager,"","Amed International Group Co., Ltd.",Dindaeng,Degree,N/A,"Full Time, Permanent",Health & Beauty Care,"Beauty Care / Health > Spa Therapist / Fitness / Sports & Recreation , Medical Services > Doctor / Practitioner / Surgeon , Medical Services > Medical Services Technician",52500
System Engineer,"",Jasmine International Public Company Limited,Prakket,Degree,N/A,"Full Time, Permanent",Information Technology,"Information Technology (IT) > DBA , Information Technology (IT) > Network & System , Information Technology (IT) > Others",27500
Full Stack Developer (Android),"","Chiwiborirak Co., Ltd.",Sathorn,Degree,2 years,Full Time,Information Technology,"Engineering > Others , Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development",45000
Assistant IT Admin Manager,"","S.G. Center Co., Ltd.",Beungkum,Degree,5 years,"Full Time, Permanent",Tourism / Travel Agency,"Information Technology (IT) > Hardware , Information Technology (IT) > Testing / QA , Information Technology (IT) > Others",32500
Digital Marketing Executive,"","RWP CO., LTD.",Chonburi,Degree,5 years,Full Time,Tourism / Travel Agency,"Marketing / Public Relations > Marketing Communication , Marketing / Public Relations > Copy-writing",32500
