title,level,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Senior IT Infrastructure,Middle,"M.I.S. Outsourcing Co., Ltd.",Pathumwan,Degree,3 years,Contract,Information Technology,"Information Technology (IT) > Support , Information Technology (IT) > Network & System , Information Technology (IT) > Others",57500
Commercial Director,"","Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,10 years,"Full Time, Permanent",Food and Beverage / Catering,Marketing / Public Relations > Management,140000
Chapter Administrator,"","Entrepreneurs' Organization Association (Thailand)",Bangkok,Degree,5 years,Full Time,Charity / Social Services / Non-Profit Organisation,Admin & HR > Administration / Operation / Clerical Support,62500
Client Account Executive (2 positions),Middle,Appco Company Limited,Wattana,Degree,1 year,"Full Time, Permanent",Advertising / Public Relations / Marketing Services,"Marketing / Public Relations > Management , Marketing / Public Relations > Brand / Product Management , Marketing / Public Relations > Market Research",22500
Employee Relations Section Chief/หัวหน้าส่วนแรงงานสัมพันธ์ (ER),"","Panus Assembly Co., Ltd.",Chonburi,Degree,3 years,"Contract, Full Time, Permanent",Motor Vehicles,"Admin & HR > Others , Admin & HR > Employee Relations",27500
ERP System Compliance (Supervisor Level),Middle,JAC International,Pravet,Master,4 years,"Full Time, Permanent",Jewellery / Gems / Watches,Information Technology (IT) > IT Consulting,57500
Store Officer / พนักงานสโตร์ (ปฎิบัติงานที่คลังสินค้าชลบุรี),Not Specified,"Petchem Supply Co., Ltd./บริษัท เพท-เคม ซัพพลาย จำกัด",Chonburi,Not Specified,Not Specified,Permanent,Chemical / Plastic / Paper / Petrochemical,Transportation & Logistics > Inventory / Warehousing,14500
Electric/ช่างไฟฟ้า,"","Joinhands Industry Co., Ltd.",Chonburi,Diploma of High Vocational Education,2 years,Full Time,Manufacturing,Engineering > Electrical / Electronics,14500
Creative (รายการทีวี),Entry Level,"TWENTY TWENTY ENTERTAINMENT CO., LTD.",Sathorn,Degree,Not Specified,"Full Time, Permanent",Entertainment / Recreation,"Media & Advertising > Creative / Design , Media & Advertising > Broadcasting - TV / Radio",27500
HR Onsite,"","Skillpower Services (Thailand) Co., Ltd.",Klongtoey,Degree,1 year,"Contract, Full Time",Mass Transportation,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Others , Admin & HR > Employee Relations",18000
Administrative & Customer Coordinator Officer/เจ้าหน้าที่ธุรการและประสานงานลูกค้า (จำนวน 1 อัตรา),Entry Level,"Ausiris Co., Ltd.",Bangkok,Degree,> 20,"Full Time, Permanent",Trading and Distribution,Admin & HR > Administration / Operation / Clerical Support,14500
Senior Project Event,Senior,Fattwo Company Limited,Jatuchak,Degree,3 years,"Full Time, Permanent",Management Consultancy / Service,"Media & Advertising > Production , Marketing / Public Relations > Event Marketing",25000
EHS Manager (6 working days),Top,JAC AYUTTHAYA,Ayutthaya,Degree,5 years,Full Time,Others,"Engineering > Health / Safety / Environmental , Engineering > Others",62500
Hotel Reservation Officer,"","Khaosan Art Hotel Co.,Ltd.",Pranakorn,Degree,3 years,Full Time,Hospitality / Catering,"Hospitality / F & B > Operation , Hospitality / F & B > Others",22500
Accounting Manager,"","Zhulian (Thailand) Co., Ltd.",Bangbuathong,Degree,6 years,Full Time,Others,Accounting > General Accounting,80000
Sales & Event Marketing Representative,Entry Level,Cosmo Corporation Group,Rajthevee,Diploma of High Vocational Education,N/A,"Freelance, Full Time, Part Time",Advertising / Public Relations / Marketing Services,"Management > General Management , Marketing / Public Relations > Marketing General , Marketing / Public Relations > Marketing Communication",25000
Software Developer (C# .NET) – 2 Positions (Junior and Senior levels)/โปรแกรมเมอร์,"","Adaptivate Corporation (Thailand) Co., Ltd.",Wattana,Degree,N/A,Full Time,Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > MIS , Information Technology (IT) > Programming / Software Development",50000
Purchasing Officer/ Sourcing/พนักงานฝ่ายจัดซื้อ,Entry Level,"Toshiba Machine Manufacturing (Thailand) Co., Ltd.",Rayong,Degree,1 year,Full Time,Manufacturing,"Sales, CS & Business Devpt > Business Development , Others > Trading",16500
Full Stack Developer / Front end Developer (Node.JS,"",Baania (Thailand) Company Limited/บริษัท บาเนีย (ประเทศไทย) จำกัด,Nonthaburi > Muang,Degree,2 years,"Full Time, Permanent",Information Technology,"Information Technology (IT) > Internet / SEO , Information Technology (IT) > Programming / Software Development , Information Technology (IT) > IT Consulting",52500
Treatment Officer & Beauty Clinic Manager /พนักงานทรีทเม้นท์ และผู้จัดการคลินิกความงาม สุพรรณบุรี รายได้ดี,Not Specified,TK Clinic/ธีเคคลินิก,Suphanburi,(N/A),1 year,"Contract, Permanent",Medical / Pharmaceutical,"Admin & HR > Administration / Operation / Clerical Support , Beauty Care / Health > Spa Therapist / Fitness / Sports & Recreation , Beauty Care / Health > Others",21500
Accounting Manager,"","MissConsult Co., Ltd.",Wattana,Degree,5 years,"Full Time, Permanent",Human Resources Management / Consultancy,"Accounting > General Accounting , Accounting > Credit Control , Accounting > Taxation",50000
เจ้าหน้าที่รับประกันภัย (ระดับ Junior,Senior,Dhipaya Insurance Public Company Limited,Others,Degree,5 years,"Full Time, Permanent",Insurance / Pension Funding,"Insurance > Actuarial , Insurance > Underwriter , Insurance > Others",32500
Quality Prodcution ENGINEER (1 Position),"","Delta Electronics (Thailand) Public Co.,Ltd.",Samutprakarn > Muang,Degree,3 years,"Full Time, Permanent",Electronics / Electrical Equipment,"Engineering > Electrical / Electronics , Engineering > Manufacturing & Production , Manufacturing > Quality Assurance, Control & Testing / ISO",20500
Welcome Fresh!!! Technical Engineer,"","J.S.Technical Services Co., Ltd.",Bangkok,Degree,Not Specified,"Full Time, Permanent",Mixed Industry Group,"Sales, CS & Business Devpt > Customer Service , Engineering > Electrical / Electronics , Engineering > Others",45000
HR Manager/Asst. HR Manager/ผู้จัดการแผนกทรัพยากรบุคคล/ผู้ช่วยผู้จัดการแผนกทรัพยากรบุคคล,Senior,"TAK Products & Services Co., Ltd.",Bangkok Area - Nakornpatom,Degree,5 years,Permanent,Architecture / Building / Construction,"Admin & HR > Compensation & Benefits , Admin & HR > Employee Relations , Admin & HR > Recruitment / Executive Search",52500
Marketing/เจ้าหน้าที่การตลาด,"","ACCAS GROUP Co., Ltd.",Phayathai,Degree,2 years,Permanent,Wholesale / Retail,Marketing / Public Relations > Marketing General,27500
Client Relationship Manager (Thai direction)/ผู้จัดการฝ่ายลูกค้าสัมพันธ์ (ฝ่ายไทย),"",BSG group,Bangrak,Degree,N/A,"Contract, Full Time",Information Technology,"Sales, CS & Business Devpt > Customer Service , Sales, CS & Business Devpt > Others , Others > Student / Fresh Graduate / No Experience",22500
Presales Specialist (Manager Level: Security/ Network & System / Cloud) (Up to 70K / BTS / MRT Line),Middle,"Linktrix (Thailand) Co., Ltd.",Wattana,Degree,7 years,"Full Time, Permanent",Telecommunication,"Information Technology (IT) > Network & System , Sales, CS & Business Devpt > Technical Sales / Sales Engineer , Telecomm > Systems Security",57500
